terminal,concourse,gate,imageX,imageY
A,,26,,
A,,27,,
A,,28,,
A,,29,,
A,,30,,
A,,31,,
A,,32,,
A,,34,,
A,,-7,,
A,,33,,
A,,35,,
A,,36,,
A,,-2,,
A,,-8,,
A,,37,,
A,,38,,
A,,39,,
A,,-3,,
A,,-9,,
A,,-10,,
A,,-5,,
A,,-4,,
A,,40,,
A,,411,,
A,,412,,
A,,42,,
A,,43,,
A,,44,,
A,,45,,
A,,46,,
A,,-6,,
A,,47,,
A,,48,,
A,,49,,
A,,50,,
A,,51,,
A,,52,,
A,,53,,
A,,54,,
A,,60,,
A,,61,,
A,,62,,
A,,63,,
A,,64,,
A,,65,,
A,,71,,
A,,73,,
A,,75,,
A,,77,,
A,,79,,
A,,81,,
A,,78,,
A,,83,,
A,,85,,
A,,87,,
B,,11,,
B,,9,,
B,,7,,
B,,-4,,
B,,8,,
B,,10,,
B,,12,,
B,,16,,
B,,18,,
B,,-1,,
B,,20,,
B,,22,,
B,,24,,
B,,26,,
B,,27,,
B,,28,,
B,,31,,
B,,32,,
B,,33,,
B,,35,,
B,,36,,
B,,37,,
B,,-3,,
B,,-5,,
B,,-6,,
B,,-7,,
B,,-8,,
B,,-9,,
B,,-10,,
B,,-11,,
B,,-12,,
B,,-13,,
B,,-14,,
B,,-15,,
B,,-16,,
B,,-2,,
B,,38,,
B,,39,,
B,,41,,
B,,42,,
B,,43,,
B,,44,,
B,,45,,
B,,46,,
B,,47,,
B,,48,,
B,,49,,
B,,50,,
B,,51,,
B,,52,,
B,,53,,
B,,54,,
B,,55,,
B,,56,,
B,,57,,
B,,58,,
B,,59,,
B,,60,,
B,,61,,
B,,63,,
B,,65,,
B,,67,,
B,,69,,
B,,71,,
B,,73,,
B,,75,,
B,,77,,
B,,79,,
B,,80,,
B,,81,,
B,,82,,
B,,83,,
B,,84,,
B,,85,,
B,,86,,
B,,87,,
B,,88,,
B,,89,,
B,,90,,
B,,91,,
B,,92,,
B,,93,,
B,,94,,
B,,95,,
C,,23,,
C,,24,,
C,,25,,
C,,26,,
C,,27,,
C,,28,,
C,,29,,
C,,30,,
C,,31,,
C,,32,,
C,,33,,
C,,34,,
C,,35,,
C,,36,,
C,,37,,
C,,38,,
C,,39,,
C,,-1,,
C,,-2,,
C,,-3,,
C,,40,,
C,,41,,
C,,42,,
C,,43,,
C,,44,,
C,,45,,
C,,46,,
C,,47,,
C,,48,,
C,,49,,
C,,50,,
C,,51,,
Term,,-1,,
Term,,-2,,
Term,,-3,,
Term,,-4,,
Term,,-5,,
Term,,-6,,
Term,,-7,,
Term,,-8,,
Term,,-9,,
Term,,-10,,
Term,,-11,,
Term,,-12,,
Term,,-13,,
Term,,-14,,
Term,,-15,,
Term,,-16,,
Term,,-17,,
Term,,-18,,
Term,,-19,,
Term,,-20,,
Term,,-21,,
Term,,-22,,
Term,,-23,,
Term,,-24,,
Term,,-25,,
Term,,-26,,
Term,,-27,,
Term,,-28,,
Term,,-29,,
Term,,-30,,
Term,,-31,,
Term,,-32,,
Term,,-33,,
Term,,-34,,
Term,,-35,,
Term,,-36,,
Term,,-37,,
Term,,-38,,
Term,,-39,,
Term,,-40,,
Term,,-41,,
Term,,-42,,
Term,,-43,,
Term,,-44,,
Term,,-45,,
Term,,-46,,
Term,,-47,,
Term,,-48,,
Term,,-49,,
Term,,-50,,
Term,,-51,,
Term,,-52,,
Term,,-53,,
Term,,-54,,
Term,,-55,,
Term,,-56,,
Term,,-57,,
Term,,-58,,
Term,,-59,,
Term,,-60,,
