optionPOSName,optionDisplayName,optionDisplayDescription,optionId,pricePerUnit,priceLevelId,isActive,uniqueRetailerItemModifierId,uniqueId,optionDisplaySequence,version
Plain,,,1,,1,Y,den_einstein_c_item_1_mod_1,den_einstein_c_item_1_mod_1_option_1,1,
Onion & Chive,,,2,,1,Y,den_einstein_c_item_1_mod_1,den_einstein_c_item_1_mod_1_option_2,2,
Smoked Salmon,,,3,,1,Y,den_einstein_c_item_1_mod_1,den_einstein_c_item_1_mod_1_option_3,3,
Garden Veggie,,,4,,1,Y,den_einstein_c_item_1_mod_1,den_einstein_c_item_1_mod_1_option_4,4,
Garlic & Herb,,,5,,1,Y,den_einstein_c_item_1_mod_1,den_einstein_c_item_1_mod_1_option_5,5,
Honey Almond,,,6,,1,Y,den_einstein_c_item_1_mod_1,den_einstein_c_item_1_mod_1_option_6,6,
Jalapeno Salsa,,,7,,1,Y,den_einstein_c_item_1_mod_1,den_einstein_c_item_1_mod_1_option_7,7,
Reduced Fat Plain,,,8,,1,Y,den_einstein_c_item_1_mod_1,den_einstein_c_item_1_mod_1_option_8,8,
Strawberry,,,9,,1,Y,den_einstein_c_item_1_mod_1,den_einstein_c_item_1_mod_1_option_9,9,
Avocado,,,10,170,1,Y,den_einstein_c_item_1_mod_2,den_einstein_c_item_1_mod_2_option_1,1,
Butter Blend,,,11,,1,Y,den_einstein_c_item_1_mod_2,den_einstein_c_item_1_mod_2_option_2,2,
Hummus,,,12,170,1,Y,den_einstein_c_item_1_mod_2,den_einstein_c_item_1_mod_2_option_3,3,
Natural PB,,,13,170,1,Y,den_einstein_c_item_1_mod_2,den_einstein_c_item_1_mod_2_option_4,4,
PB&J,,,14,219,1,Y,den_einstein_c_item_1_mod_2,den_einstein_c_item_1_mod_2_option_5,5,
Plain,,,15,,1,Y,den_einstein_c_item_2_mod_1,den_einstein_c_item_2_mod_1_option_1,1,
Onion & Chive,,,16,,1,Y,den_einstein_c_item_2_mod_1,den_einstein_c_item_2_mod_1_option_2,2,
Smoked Salmon,,,17,,1,Y,den_einstein_c_item_2_mod_1,den_einstein_c_item_2_mod_1_option_3,3,
Garden Veggie,,,18,,1,Y,den_einstein_c_item_2_mod_1,den_einstein_c_item_2_mod_1_option_4,4,
Garlic & Herb,,,19,,1,Y,den_einstein_c_item_2_mod_1,den_einstein_c_item_2_mod_1_option_5,5,
Honey Almond,,,20,,1,Y,den_einstein_c_item_2_mod_1,den_einstein_c_item_2_mod_1_option_6,6,
